                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     94,                0.57454,                0.32329,                 1.0059,                0.97399,                0.91691,                 0.9554,                0.82626,                0.56654,                0.24019,                0.94765,             0.00049054,             0.00049054,             0.00049054
                     95,                0.56085,                0.31679,                 1.0002,                0.97459,                0.99265,                0.99059,                 0.8455,                 0.5707,                0.24726,                0.94867,             0.00048604,             0.00048604,             0.00048604
                     96,                0.56882,                0.33869,                0.99935,                0.98201,                0.99316,                0.99224,                0.85187,                0.57363,                0.23825,                0.95561,             0.00048154,             0.00048154,             0.00048154
                     97,                  0.574,                0.31884,                  1.004,                0.98039,                  0.993,                0.99168,                0.86941,                0.55485,                 0.2442,                0.93922,             0.00047704,             0.00047704,             0.00047704
                     98,                0.56896,                0.30224,                0.99764,                0.97029,                0.99285,                0.99098,                0.84365,                0.56132,                0.24609,                0.94224,             0.00047254,             0.00047254,             0.00047254
                     99,                0.57427,                0.30926,                 1.0004,                0.98357,                0.97841,                0.99182,                 0.8558,                0.57989,                0.25296,                0.94965,             0.00046804,             0.00046804,             0.00046804
                    100,                0.57718,                 0.3146,                 1.0034,                0.97549,                0.99141,                0.99172,                0.85918,                0.56284,                0.24988,                 0.9433,             0.00046354,             0.00046354,             0.00046354
                    101,                0.57601,                0.31581,                 1.0185,                0.97845,                0.99331,                0.99175,                0.85856,                0.57345,                0.24362,                0.94929,             0.00045904,             0.00045904,             0.00045904
                    102,                0.56489,                0.31759,                0.99196,                0.97783,                0.99204,                0.99199,                0.86022,                0.55817,                 0.2345,                0.93657,             0.00045455,             0.00045455,             0.00045455
                    103,                0.55318,                0.30557,                0.98962,                0.97612,                0.99538,                 0.9921,                0.83819,                0.56955,                0.25505,                0.94629,             0.00045005,             0.00045005,             0.00045005
                    104,                0.56233,                0.30753,                0.99295,                0.98023,                0.99331,                0.99273,                0.85479,                0.56585,                0.23632,                0.94321,             0.00044555,             0.00044555,             0.00044555
                    105,                0.57202,                0.31934,                 1.0002,                0.97223,                0.99297,                0.98837,                0.86679,                0.56376,                0.23958,                  0.941,             0.00044105,             0.00044105,             0.00044105
                    106,                0.57321,                0.30234,                 1.0046,                0.97161,                0.99547,                0.99275,                0.85313,                0.57047,                0.24201,                0.94875,             0.00043655,             0.00043655,             0.00043655
                    107,                0.57459,                0.31153,                 1.0014,                0.97674,                0.99345,                0.99021,                0.86079,                0.55745,                0.24444,                0.93487,             0.00043205,             0.00043205,             0.00043205
                    108,                0.56269,                0.30165,                 1.0007,                0.98141,                0.99337,                 0.9905,                0.85354,                 0.5662,                0.24901,                0.94196,             0.00042755,             0.00042755,             0.00042755
                    109,                 0.5477,                0.29298,                0.99164,                 0.9785,                0.99331,                0.99118,                0.86361,                0.56423,                0.24696,                0.94547,             0.00042305,             0.00042305,             0.00042305
                    110,                0.53742,                0.28903,                 0.9853,                0.98199,                0.99331,                 0.9903,                 0.8636,                0.56838,                0.24243,                0.95107,             0.00041855,             0.00041855,             0.00041855
                    111,                0.55263,                0.30935,                0.98652,                 0.9799,                0.99331,                0.98955,                0.85317,                0.57039,                0.25064,                0.95513,             0.00041405,             0.00041405,             0.00041405
                    112,                 0.5533,                0.30943,                0.99565,                0.98277,                0.99331,                0.99134,                0.85237,                 0.5721,                0.25181,                0.95736,             0.00040955,             0.00040955,             0.00040955
                    113,                0.55562,                0.30286,                 0.9933,                0.97888,                 0.9927,                0.99202,                0.87017,                0.56843,                0.23822,                 0.9441,             0.00040505,             0.00040505,             0.00040505
                    114,                 0.5429,                0.28987,                0.98435,                0.96259,                0.99331,                 0.9916,                0.85344,                0.56511,                 0.2432,                0.94335,             0.00040055,             0.00040055,             0.00040055
                    115,                 0.5364,                0.28935,                0.98541,                0.97723,                0.99291,                0.99217,                 0.8464,                0.56722,                0.23606,                0.94193,             0.00039605,             0.00039605,             0.00039605
                    116,                0.55126,                0.30226,                 0.9851,                0.97263,                 0.9977,                0.99189,                0.85552,                0.56594,                0.24057,                0.93893,             0.00039155,             0.00039155,             0.00039155
                    117,                0.55584,                0.30713,                0.98436,                0.97015,                0.99014,                0.99176,                0.86172,                 0.5678,                0.24526,                0.94267,             0.00038705,             0.00038705,             0.00038705
                    118,                0.54663,                 0.2991,                0.97878,                0.97214,                0.99129,                 0.9913,                0.86066,                0.55876,                0.24061,                0.93107,             0.00038255,             0.00038255,             0.00038255
                    119,                0.53606,                0.29059,                0.97607,                0.98017,                 0.9917,                0.99174,                0.87304,                0.56451,                0.23742,                0.94085,             0.00037805,             0.00037805,             0.00037805
                    120,                0.54737,                0.29125,                0.98369,                0.97826,                0.99246,                0.99243,                0.86294,                 0.5597,                0.22996,                0.94046,             0.00037355,             0.00037355,             0.00037355
                    121,                0.54129,                0.28384,                0.98334,                0.98092,                0.99331,                 0.9924,                0.86434,                  0.572,                0.24163,                0.94763,             0.00036905,             0.00036905,             0.00036905
                    122,                0.53608,                0.28697,                0.98765,                0.98538,                0.99408,                0.99263,                 0.8529,                0.56801,                 0.2366,                0.94438,             0.00036455,             0.00036455,             0.00036455
                    123,                0.55149,                0.29312,                0.98829,                0.97947,                0.99331,                0.99226,                0.85538,                0.55568,                0.24202,                0.93803,             0.00036005,             0.00036005,             0.00036005
                    124,                0.53764,                0.29551,                0.99525,                0.98391,                 0.9929,                0.99224,                0.87696,                0.55263,                0.23798,                0.93896,             0.00035556,             0.00035556,             0.00035556
